Date/Time,Word Count,en,ja
2025.05.22-16.23.48,0,0,0
2025.05.22-16.27.35,92,0,92
2025.05.22-16.30.48,91,0,91
2025.05.22-16.59.35,91,43,91
2025.05.22-19.18.41,91,68,91
2025.06.01-15.11.36,103,68,103
2025.06.01-15.15.48,103,80,103
