Date/Time,Word Count,en,ja
2025.05.22-16.32.49,1484,0,1484
2025.05.22-16.36.10,1373,0,1373
2025.05.22-16.59.41,1373,249,1373
2025.05.22-19.18.47,1373,973,1373
2025.05.25-16.37.08,1373,969,1373
2025.05.25-16.37.40,1373,973,1373
2025.06.01-15.12.32,1385,973,1385
2025.06.01-15.16.10,1385,985,1385
